nc_house_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
075,14966,19418,19924,341,54649,0.43526058631921827,0.5647394136807817,0.3645812366191513,0.006239821405698183
076,12489,21517,17964,292,52262,0.36725871904957946,0.6327412809504205,0.34372966974092073,0.005587233554016302
077,7256,33260,19577,287,60380,0.17908974232402014,0.8209102576759799,0.32422987744286186,0.004753229546207353
078,7967,31089,20394,284,59734,0.20398914379352726,0.7960108562064727,0.3414136002946396,0.004754411223089028
079,14404,23241,21919,273,59837,0.38262717492362863,0.6173728250763714,0.3663118137607166,0.004562394505072113
080,8060,27362,16773,271,52466,0.2275422054090678,0.7724577945909322,0.3196927534022033,0.005165249876110243
081,9580,26663,18589,299,55131,0.2643269045056977,0.7356730954943024,0.33717871977653224,0.005423445974134335
082,14671,19835,24416,336,59258,0.42517243377963254,0.5748275662203675,0.41202875561105673,0.005670120490060414
083,11787,23740,19627,386,55540,0.33177583246544884,0.6682241675345512,0.35338494778537993,0.006949945984875765
084,11447,24600,19558,292,55897,0.31755763309013235,0.6824423669098677,0.34989355421578977,0.00522389394779684
085,8384,27930,20483,307,57104,0.23087514457234123,0.7691248554276587,0.3586964135612216,0.005376155785934435
086,9603,22698,19678,294,52273,0.2972972972972973,0.7027027027027027,0.37644673158227,0.005624318481816617
087,7924,26438,17329,282,51973,0.23060357371515045,0.7693964262848495,0.33342312354491754,0.005425894214303581
088,18320,8747,20322,366,47755,0.6768389551852809,0.323161044814719,0.42554706313475027,0.007664118940425086
089,8506,30402,22298,346,61552,0.2186182790171687,0.7813817209828313,0.36226280218351964,0.005621263322069144
090,7815,28415,17276,228,53734,0.2157052166712669,0.7842947833287331,0.32150965868909814,0.004243123534447463
091,12050,23842,16614,307,52813,0.33572941045358295,0.664270589546417,0.3145816370969269,0.005812962717512734
092,24222,9253,21990,352,55817,0.7235847647498133,0.2764152352501867,0.3939659960227171,0.006306322446566458
093,12501,21868,25688,377,60434,0.36372894177892867,0.6362710582210713,0.425058741767879,0.00623821027898203
