DISTRICT,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
96,139339,0.18627298350756288,0.0,307443278.0029728,104864.77217519724,0.35133031954495125,0.7026606390899025,0.281064255635961,F
97,194125,0.13367224593684723,0.0,789590090.2770499,138130.20211265463,0.5200370171405266,1.0,0.4,D
98,158959,0.07169397789117683,0.2830602210882317,173111205.21596944,60802.422692276436,0.5884279259776095,1.0,0.5698361326529391,C
99,161959,0.05417425226176,0.45825747738239997,74265293.41734987,43277.746238341686,0.4982720116112486,0.9965440232224972,0.6735720957184389,C
100,163433,0.0455662270691732,0.5443377293082681,73884155.08889255,68081.08807794937,0.2003125682416117,0.4006251364832234,0.4868526921782502,D
101,198694,0.16035478807044906,0.0,179467467.48481172,96414.91657000734,0.24260912911418273,0.48521825822836545,0.19408730329134619,F
102,194233,0.13430295605950623,0.0,53316455.01018909,47447.60912001286,0.2976065347872135,0.595213069574427,0.23808522782977082,F
103,173342,0.012301426684790579,0.8769857331520943,84089396.94529489,63994.43287271228,0.2580279266277714,0.5160558532555428,0.7326137811934736,B
104,171882,0.0037751602118077225,0.9622483978819227,70705745.76641239,55184.31165011654,0.2917650800030361,0.5835301600060722,0.8107611027315825,B
105,206384,0.2052636847671875,0.0,157246123.08900163,111506.40946213741,0.15892424153810142,0.31784848307620284,0.12713939323048115,F
106,236989,0.38399408572995486,0.0,104381415.39060101,58996.601064150804,0.37685914830912887,0.7537182966182577,0.3014873186473031,F
107,194760,0.13738058786174046,0.0,97210984.09592712,65193.602951693065,0.28741884334570905,0.5748376866914181,0.22993507467656726,F
108,182230,0.0642065338162095,0.357934661837905,371846164.48448735,105118.48518248725,0.42287789362763306,0.8457557872552661,0.5530631120048495,C
109,157587,0.07970633241236347,0.20293667587636532,229827536.18331397,78107.07589490418,0.4734031753239594,0.9468063506479188,0.5004845457849868,D
110,185844,0.08531196329111364,0.14688036708886365,958100889.5583214,204587.0282111672,0.28765035846936227,0.5753007169387245,0.318248507028808,F
111,171583,0.002029027557409179,0.9797097244259082,1264005969.9089663,253299.19066224204,0.247566219565033,0.495132439130066,0.7858788103075713,B
112,179154,0.04624297513751411,0.5375702486248589,92212873.92349333,47023.158909392034,0.5240561478482237,1.0,0.7225421491749153,B
113,166259,0.029062645526262552,0.7093735447373746,1941177728.8291621,316020.598056983,0.24425551748201285,0.4885110349640257,0.621028540828035,C
114,173011,0.010368416957011588,0.8963158304298842,654885833.874306,210784.52025820018,0.18522433010578893,0.37044866021157785,0.6859689623425616,C
115,166893,0.02536014350991246,0.7463985649008754,911036519.2365717,230754.76226528213,0.2150028935996303,0.4300057871992606,0.6198414538202295,C
116,158989,0.07151878063488266,0.2848121936511734,143339529.54209003,79766.60418157307,0.28309593371872355,0.5661918674374471,0.39736406316568285,F
117,147462,0.13883540641164527,0.0,647947335.7962657,173187.5430239409,0.27146651677883893,0.5429330335576779,0.21717321342307117,F
118,154297,0.09891963151929058,0.01080368480709426,2605491025.7020326,363609.86837182945,0.24764417820087875,0.4952883564017575,0.20459755344495956,F
119,138940,0.18860310701627533,0.0,3665977081.042535,457352.37058866146,0.22024078205817665,0.4404815641163533,0.17619262564654134,F
120,100655,0.41218400559034973,0.0,3907677284.3093824,364692.2322731214,0.3692117620048707,0.7384235240097414,0.29536940960389657,F
