OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
73,93,134.132324,WDR-WDH,1, ,Windsor-Windham,4479,4287,192,0.044787,WDR-WDH|4.48%,0,WDR-WDH|4.48%|4479|1.0,348011687.95985,99141.1140753273
74,182,1.209457,CHI-15,2, ,Chittenden-15,8172,8574,-402,-0.046886,CHI-15|-4.69%,0,CHI-15|-4.69%|8172|2.0,3139120.88305664,8642.90682937606
75,96,144.638214,WDH-WDR-BEN,1, ,Windham-Windsor-Bennington,4292,4287,5,0.001166,WDH-WDR-BEN|0.1,0,WDH-WDR-BEN|0.12%|4292|1.0,375272540.113386,120142.114155767
76,97,188.659439,WDH-2,1, ,Windham-2,4118,4287,-169,-0.039422,WDH-2|-3.94%,0,WDH-2|-3.94%|4118|1.0,489468255.985098,93289.3909634731
77,99,123.422302,WDH-5,1, ,Windham-5,4658,4287,371,0.086541,WDH-5|8.65%,0,WDH-5|8.65%|4658|1.0,320205158.625927,98324.8101075307
78,101,57.593269,WDH-4,1, ,Windham-4,4482,4287,195,0.045486,WDH-4|4.55%,0,WDH-4|4.55%|4482|1.0,149418056.611464,62028.7931770944
79,102,120.487595,WDH-6,1, ,Windham-6,4370,4287,83,0.019361,WDH-6|1.94%,0,WDH-6|1.94%|4370|1.0,312582571.329304,81778.8391636253
80,103,59.72493,WDH-1,1, ,Windham-1,4312,4287,25,0.005832,WDH-1|0.58%,0,WDH-1|0.58%|4312|1.0,154942041.178307,56719.6369326705
81,104,7.722675,WDH-9,1, ,Windham-9,4051,4287,-236,-0.05505,WDH-9|-5.51%,0,WDH-9|-5.51%|4051|1.0,20035036.9118137,25743.106039502
82,105,3.160746,WDH-8,1, ,Windham-8,4079,4287,-208,-0.048519,WDH-8|-4.85%,0,WDH-8|-4.85%|4079|1.0,8199926.96564102,14537.9510772835
83,106,21.720692,WDH-7,1, ,Windham-7,4054,4287,-233,-0.05435,WDH-7|-5.44%,0,WDH-7|-5.44%|4054|1.0,56350290.1731663,33237.5728828358
84,107,131.512863,BEN-4,2, ,Bennington-4,7962,8574,-612,-0.071379,BEN-4|-7.14%,0,BEN-4|-7.14%|7962|2.0,341230168.20048,82685.57509107
85,109,127.914551,BEN-3,1, ,Bennington-3,4029,4287,-258,-0.060182,BEN-3|-6.02%,0,BEN-3|-6.02%|4029|1.0,331882680.313824,84953.7924371369
86,112,33.584362,BEN-2,2, ,Bennington-2,8078,8574,-496,-0.057849,BEN-2|-5.78%,0,BEN-2|-5.78%|8078|2.0,87136416.0715609,44413.6365210437
87,119,18.637688,BEN-5,2, ,Bennington-5,8144,8574,-430,-0.050152,BEN-5|-5.02%,0,BEN-5|-5.02%|8144|2.0,48354435.9068394,34775.6819922022
