county_id,vtd_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
11,62.1,840,466,983,15,2304,0.6431852986217458,0.3568147013782542,0.4266493055555556,0.006510416666666667
11,63.1,130,186,250,6,572,0.41139240506329117,0.5886075949367089,0.4370629370629371,0.01048951048951049
11,64.1,478,515,801,13,1807,0.4813695871097684,0.5186304128902316,0.44327614831211953,0.007194244604316547
11,65.1,951,644,1159,14,2768,0.5962382445141066,0.40376175548589344,0.41871387283236994,0.0050578034682080926
11,66.1,549,341,673,15,1578,0.6168539325842697,0.3831460674157303,0.426489226869455,0.009505703422053232
11,67.1,902,422,1044,10,2378,0.6812688821752266,0.3187311178247734,0.43902439024390244,0.004205214465937763
11,68.1,1163,1323,1940,31,4457,0.4678197908286404,0.5321802091713597,0.4352703612295266,0.006955351133049136
11,69.1,907,752,1328,16,3003,0.5467148884870404,0.45328511151295964,0.44222444222444224,0.005328005328005328
11,70.1,1077,499,1299,24,2899,0.6833756345177665,0.3166243654822335,0.44808554674025525,0.008278716798896172
11,71.1,1386,804,1658,24,3872,0.6328767123287671,0.36712328767123287,0.428202479338843,0.006198347107438017
12,0001,538,1234,990,29,2791,0.3036117381489842,0.6963882618510158,0.3547115729129344,0.010390541024722321
12,0003,165,542,367,5,1079,0.2333804809052334,0.7666195190947667,0.340129749768304,0.004633920296570899
12,0011,295,1367,969,19,2650,0.17749699157641396,0.822503008423586,0.36566037735849055,0.007169811320754717
12,0012,130,925,588,9,1652,0.12322274881516587,0.8767772511848341,0.3559322033898305,0.005447941888619854
12,0013,274,1378,851,8,2511,0.16585956416464892,0.8341404358353511,0.33890880127439266,0.0031859816806053365
12,0014,164,1006,603,6,1779,0.14017094017094017,0.8598290598290599,0.33895446880269814,0.003372681281618887
12,0015,167,648,475,6,1296,0.2049079754601227,0.7950920245398773,0.36651234567901236,0.004629629629629629
12,0018,87,241,181,2,511,0.2652439024390244,0.7347560975609756,0.3542074363992172,0.003913894324853229
12,0019,98,278,211,7,594,0.26063829787234044,0.7393617021276596,0.3552188552188552,0.011784511784511785
12,0020,190,349,352,4,895,0.3525046382189239,0.647495361781076,0.39329608938547483,0.004469273743016759
12,0021,227,602,479,6,1314,0.2738238841978287,0.7261761158021713,0.3645357686453577,0.0045662100456621
12,0022,287,824,638,8,1757,0.2583258325832583,0.7416741674167416,0.363118952760387,0.004553215708594195
12,0024,339,1006,839,13,2197,0.2520446096654275,0.7479553903345725,0.38188438780154754,0.005917159763313609
12,0029,265,988,826,12,2091,0.2114924181963288,0.7885075818036712,0.3950263032042085,0.005738880918220947
12,0031,619,384,681,15,1699,0.617148554336989,0.382851445663011,0.4008240141259564,0.008828722778104767
12,0034,450,473,723,11,1657,0.4875406283856988,0.5124593716143012,0.43633071816535907,0.006638503319251659
12,0035,410,331,498,2,1241,0.553306342780027,0.446693657219973,0.40128928283642223,0.0016116035455278
12,0036,247,750,672,7,1676,0.2477432296890672,0.7522567703109327,0.4009546539379475,0.004176610978520286
12,0038,453,698,729,11,1891,0.3935708079930495,0.6064291920069504,0.3855103120042306,0.005817028027498678
12,0039,473,523,639,11,1646,0.4748995983935743,0.5251004016064257,0.3882138517618469,0.006682867557715674
12,0040,304,634,638,9,1585,0.32409381663113007,0.67590618336887,0.4025236593059937,0.0056782334384858045
12,0047,756,1053,1162,13,2984,0.417910447761194,0.582089552238806,0.3894101876675603,0.00435656836461126
12,0048,414,732,692,10,1848,0.3612565445026178,0.6387434554973822,0.37445887445887444,0.005411255411255411
12,0051,585,1252,1193,10,3040,0.3184540010887316,0.6815459989112683,0.3924342105263158,0.003289473684210526
12,0052,246,531,411,12,1200,0.3166023166023166,0.6833976833976834,0.3425,0.01
12,0053,265,947,747,15,1974,0.21864686468646866,0.7813531353135313,0.378419452887538,0.007598784194528876
12,0062,132,353,298,2,785,0.2721649484536082,0.7278350515463917,0.3796178343949045,0.0025477707006369425
12,0064,104,335,301,5,745,0.23690205011389523,0.7630979498861048,0.4040268456375839,0.006711409395973154
12,0065,152,476,391,13,1032,0.24203821656050956,0.7579617834394905,0.37887596899224807,0.012596899224806201
12,0066,344,865,632,6,1847,0.28453267162944584,0.7154673283705542,0.3421765024363833,0.0032485110990795887
12,0070,423,973,902,8,2306,0.3030085959885387,0.6969914040114613,0.391153512575889,0.003469210754553339
13,,11,8,12,0,31,0.5789473684210527,0.42105263157894735,0.3870967741935484,0.0
13,01-02,614,1238,1164,23,3039,0.33153347732181426,0.6684665226781857,0.3830207305034551,0.007568279039157618
13,01-04,1739,1595,2591,38,5963,0.5215956808638272,0.47840431913617276,0.43451282911286265,0.006372631225893007
13,01-06,1009,960,1536,13,3518,0.5124428643981717,0.48755713560182834,0.43661171119954517,0.003695281409891984
13,01-07,578,1039,1125,13,2755,0.35745207173778604,0.642547928262214,0.40834845735027225,0.004718693284936479
13,01-08,1678,1384,2089,42,5193,0.5480078380143697,0.4519921619856303,0.40227228962064315,0.008087810514153668
13,01-09,218,406,417,5,1046,0.34935897435897434,0.6506410256410257,0.3986615678776291,0.004780114722753346
13,01-10,792,908,1289,18,3007,0.46588235294117647,0.5341176470588235,0.4286664449617559,0.005986032590621883
