county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
11,34.1,387,199,478,12,1076,0.6604095563139932,0.3395904436860068,0.44423791821561337,0.011152416356877323
11,35.1,734,288,692,8,1722,0.7181996086105675,0.28180039138943247,0.40185830429732866,0.004645760743321719
11,36.1,490,494,821,13,1818,0.49796747967479676,0.5020325203252033,0.4515951595159516,0.007150715071507151
11,37.1,305,436,645,11,1397,0.4116059379217274,0.5883940620782726,0.4617036506800286,0.007874015748031496
11,38.2,368,684,798,9,1859,0.34980988593155893,0.6501901140684411,0.42926304464766,0.004841312533620226
11,38.3,721,1032,1370,20,3143,0.4112949229891614,0.5887050770108385,0.43588927776010183,0.006363347120585428
11,39.2,419,410,731,12,1572,0.5054282267792521,0.4945717732207479,0.46501272264631044,0.007633587786259542
11,39.3,703,687,1226,23,2639,0.5057553956834533,0.49424460431654677,0.4645699128457749,0.008715422508525956
11,40.2,832,1211,1559,22,3624,0.40724424865394027,0.5927557513460597,0.4301876379690949,0.006070640176600441
11,41.1,710,1076,1305,21,3112,0.3975363941769317,0.6024636058230683,0.4193444730077121,0.006748071979434447
11,42.1,608,446,868,21,1943,0.5768500948766604,0.42314990512333966,0.4467318579516212,0.01080802882141019
11,43.2,495,292,719,13,1519,0.6289707750952986,0.3710292249047014,0.47333772218564846,0.008558262014483212
