house_id,base_Fairness,base_pop_score,base_compactness_score,opt_Fairness,opt_pop_score,opt_compactness_score,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
FRA-4,0.2477041958002745,0.0,0.6192604895006862,0.2477041958002745,0.0,0.6192604895006862,0.0,0.0,0.0,-3.0654814836955464,-3.0654814836955464
FRA-5,0.3422532894672554,0.0,0.8556332236681384,0.3422532894672554,0.0,0.8556332236681384,0.0,0.0,0.0,-1.2273082585279085,-1.2273082585279085
FRA-6,0.3337113872137346,0.0,0.8342784680343365,0.3337113872137346,0.0,0.8342784680343365,0.0,0.0,0.0,-1.3933753820238202,-1.3933753820238202
FRA-7,0.9390328932687366,0.8983881554478944,1.0,0.9390328932687366,0.8983881554478944,1.0,0.0,0.0,0.0,10.374963603514598,10.374963603514598
FRA-8,0.33566042971293547,0.0,0.8391510742823386,0.33566042971293547,0.0,0.8391510742823386,0.0,0.0,0.0,-1.3554831336923483,-1.3554831336923483
GI-CHI,0.27796000736994164,0.0,0.694900018424854,0.27796000736994164,0.0,0.694900018424854,0.0,0.0,0.0,-2.477264076461935,-2.477264076461935
LAM-1,0.4530529178206024,0.1949033048576032,0.8402773372651012,0.4530529178206024,0.1949033048576032,0.8402773372651012,0.0,0.0,0.0,0.9267992246702533,0.9267992246702533
LAM-2,0.25751471078479166,0.0,0.6437867769619791,0.25751370601844825,0.0,0.6437842650461206,0.0,-2.5119158584274714e-06,-1.0047663434042953e-06,-2.8747506657655264,-2.8747701998987303
LAM-3,0.8293156295906802,0.8131734921500338,0.8535288357516498,0.8293156295906802,0.8131734921500338,0.8535288357516498,0.0,0.0,0.0,8.241898879044445,8.241898879044445
LAM-WAS,0.2573537117292658,0.0,0.6433842793231644,0.6393204843556735,0.636609527203708,0.6433869200836215,0.636609527203708,2.64076045708439e-06,0.38196677262640766,-2.877880723830253,4.548114249940259
ORA-1,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ORA-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ORA-3,0.31676723717344135,0.0,0.7919180929336034,0.8258122838275981,0.848420075185081,0.7919005967913737,0.848420075185081,-1.7496142229678213e-05,0.5090450466541567,-1.7227945411010408,8.173788692786246
ORA-CAL,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ORA-WAS-ADD,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ORL-1,0.3546579276767677,0.0,0.8866448191919192,0.3546579276767677,0.0,0.8866448191919192,0.0,0.0,0.0,-0.9861438756631798,-0.9861438756631798
ORL-2,0.29833646089177707,0.0,0.7458411522294427,0.29833646089177707,0.0,0.7458411522294427,0.0,0.0,0.0,-2.0811158974044432,-2.0811158974044432
ORL-3,0.6094544544994571,0.34909075749909524,1.0,0.6094544544994571,0.34909075749909524,1.0,0.0,0.0,0.0,3.967474771606197,3.967474771606197
ORL-4,0.6146041176052272,0.3576735293420452,1.0,0.6146041176052272,0.3576735293420452,1.0,0.0,0.0,0.0,4.067591784604766,4.067591784604766
ORL-LAM,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
RUT-1,0.2876164175594229,0.07566816878797411,0.6055387907165961,0.2876164175594229,0.07566816878797411,0.6055387907165961,0.0,0.0,0.0,-2.2895292820485724,-2.2895292820485724
RUT-10,0.2752263982712719,0.0,0.6880659956781796,0.2752263982712719,0.0,0.6880659956781796,0.0,0.0,0.0,-2.5304094516143167,-2.5304094516143167
RUT-11,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
RUT-2,0.4541056029645145,0.4931546264001153,0.3955320678111133,0.4541056029645145,0.4931546264001153,0.3955320678111133,0.0,0.0,0.0,0.9472649697242086,0.9472649697242086
RUT-3,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
RUT-4,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
RUT-5,0.4,0.0,1.0,0.8500172881547124,0.7500288135911874,1.0,0.7500288135911874,0.0,0.4500172881547124,-0.10462740537588028,8.644369521682194
RUT-6,0.39289107162348286,0.0,0.9822276790587071,0.7696841254891031,0.6832058042425053,0.8994016073589998,0.6832058042425053,-0.08282607169970735,0.3767930538656203,-0.24283541239680637,7.082574871116139
RUT-7,0.8099234825455033,0.6832058042425053,1.0,0.8099234825455033,0.6832058042425053,1.0,0.0,0.0,0.0,7.8648870633361945,7.8648870633361945
RUT-8,0.8513392513348077,0.8879662182100265,0.7963988010219794,0.8513392513348077,0.8879662182100265,0.7963988010219794,0.0,0.0,0.0,8.67007042719132,8.67007042719132
RUT-9,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
RUT-BEN,0.33935652395807037,0.0,0.8483913098951759,0.33935652395807037,0.0,0.8483913098951759,0.0,0.0,0.0,-1.2836256338940628,-1.2836256338940628
RUT-WDR,0.7612882979231892,0.6501008271339841,0.9280695041069968,0.7612882979231892,0.6501008271339841,0.9280695041069968,0.0,0.0,0.0,6.919347654056342,6.919347654056342
WAS-1,0.38806525647366263,0.0,0.9701631411841566,0.6403698685543744,0.4205116803350718,0.9701571508833283,0.4205116803350718,-5.9903008282624626e-06,0.25230461208071175,-0.3366563455646276,4.568515819771908
WAS-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WAS-3,0.36033067728789836,0.0,0.9008266932197458,0.36033067728789836,0.0,0.9008266932197458,0.0,0.0,0.0,-0.8758572928537446,-0.8758572928537446
WAS-4,0.3421323018481397,0.0,0.8553307546203491,0.3421323018481397,0.0,0.8553307546203491,0.0,0.0,0.0,-1.229660435512477,-1.229660435512477
WAS-5,0.30019783353657137,0.0,0.7504945838414284,0.30019783353657137,0.0,0.7504945838414284,0.0,0.0,0.0,-2.044928079784831,-2.044928079784831
WAS-6,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WAS-CHI,0.7866369623910421,0.9094190607831898,0.6024638148028204,0.7866369623910421,0.9094190607831898,0.6024638148028204,0.0,0.0,0.0,7.412162915540311,7.412162915540311
WAS-ORA,0.2715844607034994,0.0,0.6789611517587485,0.2715844607034994,0.0,0.6789611517587485,0.0,0.0,0.0,-2.6012140660762046,-2.6012140660762046
WDH-1,0.5311060086759565,0.21851001445992746,1.0,0.4,0.0,1.0,-0.21851001445992746,0.0,-0.13110600867595645,2.4442659309851145,-0.10462740537588028
WDH-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDH-3,0.28294827558181374,0.0,0.7073706889545343,0.28294827558181374,0.0,0.7073706889545343,0.0,0.0,0.0,-2.3802848172073294,-2.3802848172073294
WDH-4,0.39111801007057867,0.0,0.9777950251764467,0.39111801007057867,0.0,0.9777950251764467,0.0,0.0,0.0,-0.27730633270622895,-0.27730633270622895
WDH-5,0.33163134334326794,0.0,0.8290783583581698,0.33163134334326794,0.0,0.8290783583581698,0.0,0.0,0.0,-1.433814489386741,-1.433814489386741
WDH-6,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDH-7,0.4,0.0,1.0,0.9885039901714999,0.9808399836191665,1.0,0.9808399836191665,0.0,0.5885039901714999,-0.10462740537588028,11.33675437505417
WDH-8,0.38982869842074197,0.0,0.9745717460518549,0.8745288329316132,0.8174648780715088,0.9601247652217697,0.8174648780715088,-0.014446980830085221,0.48470013451087124,-0.3023724445187232,9.120909947073194
WDH-9,0.3040705596877279,0.0,0.7601763992193197,0.30116934394414296,0.0,0.7529233598603573,0.0,-0.0072530393589623765,-0.0029012157435849284,-1.969636596351516,-2.0260404908095233
WDH-WDR-BEN,0.6851870052595501,0.7065018992447982,0.653214664281678,0.6851870052595501,0.7065018992447982,0.653214664281678,0.0,0.0,0.0,5.439826770782131,5.439826770782131
WDR-1,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDR-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDR-3,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDR-4,0.3725523023576862,0.0,0.9313807558942154,0.37253117247619627,0.0,0.9313279311904906,0.0,-5.282470372480752e-05,-2.1129881489945213e-05,-0.6382509541779975,-0.6386617501031555
WDR-5,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
WDR-6,0.3838530476533655,0.0,0.9596326191334137,0.3838530476533655,0.0,0.9596326191334137,0.0,0.0,0.0,-0.41854787061252113,-0.41854787061252113
