county,path,raw_rows,clean_rows,raw_crs,minx,miny,maxx,maxy
Hardin,/Users/kunsel03/Desktop/Thesis/data/extracted/Hardin/Hardin_County_Precinct_Plan.shp,8,8,EPSG:4326,-93.4995865059423,42.20870458118982,-93.00168132812522,42.557707612193006
Clayton,/Users/kunsel03/Desktop/Thesis/data/extracted/Clayton/Clayton.shp,12,12,EPSG:4326,-91.6084300042474,42.64398074600782,-90.89695778491603,43.08172281795878
Fayette,/Users/kunsel03/Desktop/Thesis/data/extracted/Fayette/Fayette.shp,20,20,EPSG:4326,-92.08189114111045,42.64183472582207,-91.60528503412968,43.08280178560851
Cass,/Users/kunsel03/Desktop/Thesis/data/extracted/Cass/Cass_County_Precinct_Plan_-_SOS_REVISED.shp,12,12,EPSG:4326,-95.15585880159848,41.15791031412806,-94.70008069686915,41.50524634074209
Jefferson,/Users/kunsel03/Desktop/Thesis/data/extracted/Jefferson/Jefferson_County.shp,8,8,EPSG:4326,-92.17999898357652,40.89972742629988,-91.71604885367044,41.16381448203187
Ringgold,/Users/kunsel03/Desktop/Thesis/data/extracted/Ringgold/Ringgold_County_Precincts.shp,7,7,EPSG:4326,-94.4717035765083,40.57083223393153,-94.01476646066817,40.89951028731682
Decatur,/Users/kunsel03/Desktop/Thesis/data/extracted/Decatur/County_Decatur_Precincts.shp,4,4,EPSG:4326,-94.01549942913536,40.57392126221319,-93.55619332376008,40.89937632950487
Guthrie,/Users/kunsel03/Desktop/Thesis/data/extracted/Guthrie/Guthrie_County_Precincts_-_SOS_REVISED.shp,6,6,EPSG:4326,-94.74488376965148,41.50357739644661,-94.24136360233663,41.86331543796759
Monroe,/Users/kunsel03/Desktop/Thesis/data/extracted/Monroe/Monroe_County_Precincts.shp,7,7,EPSG:4326,-93.09922423935127,40.89822938454244,-92.63909808416781,41.161431440875624
Marion,/Users/kunsel03/Desktop/Thesis/data/extracted/Marion/County_Marion_Precincts.shp,19,19,EPSG:4326,-93.32862134042176,41.1606664000382,-92.86977817577663,41.5085294846376
Delaware,/Users/kunsel03/Desktop/Thesis/data/extracted/Delaware/County_Delaware_Precincts.shp,12,12,EPSG:4326,-91.60905797511462,42.29575171866667,-91.1300858092331,42.64585177574316
Winnebago,/Users/kunsel03/Desktop/Thesis/data/extracted/Winnebago/Final_2021_Plan_Winnebago_County.shp,10,10,EPSG:4326,-93.97078774041549,43.25502869199905,-93.49733362151704,43.49989372582053
Fremont,/Users/kunsel03/Desktop/Thesis/data/extracted/Fremont/Fremont_County_Precinct_Map.shp,5,5,EPSG:4326,-95.88891495132376,40.580510179783346,-95.37061781218333,40.90175320777958
Iowa,/Users/kunsel03/Desktop/Thesis/data/extracted/Iowa/Iowa_County_Precinct_Map.shp,11,11,EPSG:4326,-92.30013207079138,41.509793519956595,-91.82706693111675,41.86306458103823
Dickinson,/Users/kunsel03/Desktop/Thesis/data/extracted/Dickinson/County_Dickinson_Precincts.shp,12,12,EPSG:4326,-95.38809811895226,43.255061625181796,-94.91373098491059,43.5012036391707
Benton,/Users/kunsel03/Desktop/Thesis/data/extracted/Benton/Benton_County_Precincts_-_FINAL_SOS_REVISED.shp,18,18,EPSG:4326,-92.29933612603092,41.861569601530675,-91.83109600895664,42.29907067671787
Van Buren,/Users/kunsel03/Desktop/Thesis/data/extracted/Van Buren/County_Van_Buren_Precincts.shp,4,4,EPSG:4326,-92.17978892640933,40.59853740289443,-91.71643879780297,40.90136944497972
Humboldt,/Users/kunsel03/Desktop/Thesis/data/extracted/Humboldt/Humboldt_Precincts_-_SOS_REVISED.shp,6,6,EPSG:4326,-94.44317379039107,42.644334580426225,-93.97124568097519,42.90833762525188
